ablation,cell,model,metric,mean,sd,n
reasoning,none,gpt-5.5,tstar,10.0,0.0,10
reasoning,none,gpt-5.5,S1,6.4276,4.2347,10
reasoning,none,gpt-5.5,S2,0.0,0.0,10
reasoning,none,gpt-5.5,S4,0.2,0.6325,10
reasoning,none,gpt-5.5,S5,0.1,0.3162,10
reasoning,none,gpt-5.5,S6,0.285,0.1678,10
reasoning,low,gpt-5.5,tstar,9.2,1.6865,10
reasoning,low,gpt-5.5,S1,6.1345,3.3598,10
reasoning,low,gpt-5.5,S2,0.5759,1.4934,10
reasoning,low,gpt-5.5,S4,0.3,0.6749,10
reasoning,low,gpt-5.5,S5,0.0,0.0,10
reasoning,low,gpt-5.5,S6,0.2312,0.1407,10
reasoning,medium,gpt-5.5,tstar,9.9,0.3162,10
reasoning,medium,gpt-5.5,S1,8.4034,3.9358,10
reasoning,medium,gpt-5.5,S2,0.1828,0.5779,10
reasoning,medium,gpt-5.5,S4,1.8,3.4577,10
reasoning,medium,gpt-5.5,S5,0.1,0.3162,10
reasoning,medium,gpt-5.5,S6,0.2399,0.1265,10
reasoning,high,gpt-5.5,tstar,8.5,2.4608,10
reasoning,high,gpt-5.5,S1,7.7759,2.6973,10
reasoning,high,gpt-5.5,S2,0.3414,1.0795,10
reasoning,high,gpt-5.5,S4,1.7,1.9465,10
reasoning,high,gpt-5.5,S5,0.1,0.3162,10
reasoning,high,gpt-5.5,S6,0.1839,0.1435,10
reasoning,xhigh,gpt-5.5,tstar,9.4,1.5776,10
reasoning,xhigh,gpt-5.5,S1,7.9966,5.4942,10
reasoning,xhigh,gpt-5.5,S2,0.1276,0.4035,10
reasoning,xhigh,gpt-5.5,S4,1.4,2.9889,10
reasoning,xhigh,gpt-5.5,S5,0.0,0.0,10
reasoning,xhigh,gpt-5.5,S6,0.2579,0.1853,10
prompt,novice,gpt-5.5,tstar,10.0,,1
prompt,novice,gpt-5.5,S1,14.1379,,1
prompt,novice,gpt-5.5,S2,0.0,,1
prompt,novice,gpt-5.5,S3,0.0,,1
prompt,novice,gpt-5.5,S4,0.0,,1
prompt,novice,gpt-5.5,S5,0.0,,1
prompt,novice,gpt-5.5,S6,0.2296,,1
prompt,BA__ex__none,gpt-5.5,tstar,10.0,,1
prompt,BA__ex__none,gpt-5.5,S1,19.8276,,1
prompt,BA__ex__none,gpt-5.5,S2,0.0,,1
prompt,BA__ex__none,gpt-5.5,S3,0.0,,1
prompt,BA__ex__none,gpt-5.5,S4,17.0,,1
prompt,BA__ex__none,gpt-5.5,S5,6.0,,1
prompt,BA__ex__none,gpt-5.5,S6,0.2389,,1
prompt,BA__ex__vague,gpt-5.5,tstar,10.0,,1
prompt,BA__ex__vague,gpt-5.5,S1,16.931,,1
prompt,BA__ex__vague,gpt-5.5,S2,0.0,,1
prompt,BA__ex__vague,gpt-5.5,S3,0.0,,1
prompt,BA__ex__vague,gpt-5.5,S4,0.0,,1
prompt,BA__ex__vague,gpt-5.5,S5,0.0,,1
prompt,BA__ex__vague,gpt-5.5,S6,0.1759,,1
prompt,BA__ex__deflect1+deflect2,gpt-5.5,tstar,10.0,,1
prompt,BA__ex__deflect1+deflect2,gpt-5.5,S1,11.7586,,1
prompt,BA__ex__deflect1+deflect2,gpt-5.5,S2,0.0,,1
prompt,BA__ex__deflect1+deflect2,gpt-5.5,S3,0.0,,1
prompt,BA__ex__deflect1+deflect2,gpt-5.5,S4,9.0,,1
prompt,BA__ex__deflect1+deflect2,gpt-5.5,S5,0.0,,1
