suite,model,n_codebases,n_never_stopped,S0_mean,S1_mean,S2_mean,S3_mean,S4_cont_mean,S5_cont_mean,S6_mean,S7_mean,S0_sem,S1_sem,S2_sem,S3_sem,S4_cont_sem,S5_cont_sem,S6_sem,S7_sem,rd_SAME_edited,rd_other_refactoring,rd_node_added,rd_node_deleted,rd_extract,rd_inline
Algorithms,claude-opus-4-8,50,2,3.24,9.4112,6.6858,15.8107,0.0,0.0,0.0374,0.2434,0.2434,3.3995,1.5161,3.657,0.0,0.0,0.0075,0.033,20.5,5.4,42.1,6.6,1.4,0.1
Algorithms,claude-sonnet-4-6,50,17,7.42,8.223,1.4399,6.986,0.0,0.0,0.1278,0.3601,0.3802,1.8705,0.9296,2.8697,0.0,0.0,0.016,0.0575,31.1,7.2,16.9,4.1,2.7,0.5
Algorithms,gpt-5.5,50,46,9.72,9.5158,0.3987,5.9351,0.0,0.0,0.2339,0.04,0.1896,1.7422,0.3703,0.8568,0.0,0.0,0.0203,0.028,34.0,14.1,17.2,3.0,8.0,0.3
Algorithms,gpt-5.4-mini,50,47,9.7,20.5184,0.5637,13.8308,0.0,0.0,0.2549,0.04,0.1964,6.9751,0.3194,4.5602,0.0,0.0,0.0177,0.028,41.6,19.0,30.5,10.8,6.3,1.2
Algorithms,gpt-5.4,50,50,10.0,30.9743,0.0,15.3909,0.0,0.0,0.2294,0.16,0.0,11.164,0.0,4.8607,0.0,0.0,0.016,0.0524,55.4,29.8,47.9,16.4,11.4,1.1
RealWorld,claude-opus-4-8,10,5,7.3,0.4702,0.0341,0.3774,0.0,0.0,0.0377,0.7167,1.2207,0.1159,0.0229,0.0806,0.0,0.0,0.0171,0.1316,51.4,23.1,45.0,25.2,7.2,0.2
RealWorld,claude-sonnet-4-6,10,2,6.6,0.5148,0.0,0.3579,0.0,0.0,0.0244,0.3,0.6532,0.0684,0.0,0.0519,0.0,0.0,0.0119,0.1528,97.1,15.6,32.8,24.7,3.5,1.5
RealWorld,gpt-5.5,10,9,9.5,0.5681,0.0359,0.384,0.0,0.0,0.0565,0.2,0.5,0.0934,0.0359,0.1051,0.0,0.0,0.0254,0.1333,107.6,35.7,54.1,20.4,22.6,0.1
RealWorld,gpt-5.4-mini,10,8,8.7,0.626,0.152,0.6037,0.0,0.0,0.1759,0.1,0.9434,0.1371,0.1038,0.1322,0.0,0.0,0.0442,0.1,121.1,56.7,60.9,35.3,14.5,0.7
RealWorld,gpt-5.4,10,10,10.0,0.8809,0.0,0.4784,0.0,0.0,0.1268,0.3,0.0,0.1193,0.0,0.0971,0.0,0.0,0.0218,0.1528,144.8,64.5,100.1,46.9,27.5,0.5
