run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,1,88,39,127,92.072,0,0,969f7c411d23c97a3a05c2394b79b5fcc924ba39,codex-exp: iteration 1,gpt-5.4,codex-exp/20260618T061110Z-gpt-5.4-high-Agent
2,5,143,108,251,72.620,0,0,2dc97c09609c8b1877a29dfc7dd9c2bba2891f33,codex-exp: iteration 2,gpt-5.4,codex-exp/20260618T061110Z-gpt-5.4-high-Agent
3,6,85,55,140,94.665,0,0,316c5b2965a5eb16960239ae144a63fc1d4f067e,codex-exp: iteration 3,gpt-5.4,codex-exp/20260618T061110Z-gpt-5.4-high-Agent
4,6,60,41,101,80.772,0,0,a4fce05105da5e2af02d0af2cf10a9ad3a62fd67,codex-exp: iteration 4,gpt-5.4,codex-exp/20260618T061110Z-gpt-5.4-high-Agent
5,7,38,15,53,98.099,0,0,aa090ffbf47fb6e8b7ff7d4ecffb1d49d0f2dfc4,codex-exp: iteration 5,gpt-5.4,codex-exp/20260618T061110Z-gpt-5.4-high-Agent
6,4,60,42,102,70.879,0,0,136ce9065724eb5b97ffdc9420802cdbd0fd2d74,codex-exp: iteration 6,gpt-5.4,codex-exp/20260618T061110Z-gpt-5.4-high-Agent
7,1,17,8,25,58.977,0,0,bffab3f7536719fb54b7f57bedd2f3676b410b5b,codex-exp: iteration 7,gpt-5.4,codex-exp/20260618T061110Z-gpt-5.4-high-Agent
8,3,39,35,74,110.564,0,0,5d5c0a0ce7542c2091aa8353157bae523edeab2a,codex-exp: iteration 8,gpt-5.4,codex-exp/20260618T061110Z-gpt-5.4-high-Agent
9,3,51,31,82,83.160,0,0,e84045bdf1942ba2995a4c229574fa94068f3a8c,codex-exp: iteration 9,gpt-5.4,codex-exp/20260618T061110Z-gpt-5.4-high-Agent
10,3,50,35,85,150.738,0,0,54f2467d0d4962a9379edd6b5954c25aa7f19cd1,codex-exp: iteration 10,gpt-5.4,codex-exp/20260618T061110Z-gpt-5.4-high-Agent
