run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,1,219,42,261,104.971,0,0,c90be1a6b5076fa56231289e1b7b46efff153ed0,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260618T101447Z-gpt-5.4-mini-high-Agent
2,8,279,242,521,110.246,0,0,38efdb7f193000f5fe7a3066d99c626e442c8c40,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260618T101447Z-gpt-5.4-mini-high-Agent
3,6,136,52,188,139.334,0,0,6095b052981bf19fff707ce0e661902956342bc2,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260618T101447Z-gpt-5.4-mini-high-Agent
4,5,23,78,101,67.424,0,0,010c5ddf54624ee8917ca746592e00bf80d12e01,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260618T101447Z-gpt-5.4-mini-high-Agent
5,4,10,10,20,99.165,0,0,856f6805bd68d8310b2224626d05e0e1cb2eb608,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260618T101447Z-gpt-5.4-mini-high-Agent
6,1,2,2,4,47.881,0,0,08fe2aef2b7c7a31b32216b2de8c610a3d6c8977,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260618T101447Z-gpt-5.4-mini-high-Agent
7,3,24,23,47,66.873,0,0,eedd8dc9665e625a8141ef2008a4dc57403ce663,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260618T101447Z-gpt-5.4-mini-high-Agent
8,2,2,32,34,96.972,0,0,47aee65d473e2584ee1c62d2d1d7492491c9a397,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260618T101447Z-gpt-5.4-mini-high-Agent
9,4,32,28,60,60.924,0,0,49aa08bed3cbe09d2f6c25306179ec489a5e1c57,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260618T101447Z-gpt-5.4-mini-high-Agent
10,3,41,19,60,49.241,0,0,9e730cf17af6c18b8e337ca5ea8b1b38342213eb,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260618T101447Z-gpt-5.4-mini-high-Agent
