# RefDiff matcher discarded candidates for 20260618T111613Z-gpt-5.4



## run 001 commit 42ac32fa830f2ad7b307f06d1373679627710e27
Discarded EXTRACT with score 0.039	 {disjoint_set_union_find.java:233:359:257:358 MethodDeclaration find(int)} {UnionFind.java:1343:1578:1378:1577 MethodDeclaration validateIndex(int)}

## run 002 commit 18b4db56b2fe3820f9fe8131151a520a6409438f
Discarded EXTRACT with score 0.000	 {UnionFind.java:1584:1865:1624:1864 MethodDeclaration main(String[])} {UnionFind.java:1377:1439:1402:1438 MethodDeclaration components()}
Discarded EXTRACT with score 0.000	 {UnionFind.java:1584:1865:1624:1864 MethodDeclaration main(String[])} {UnionFind.java:1293:1371:1326:1370 MethodDeclaration componentSize(int)}

## run 003 commit dcaa74b04f2ed883e2803c713f568b0633e9d03b
Discarded match with score 0.078	 {UnionFind.java:1506:1893:1561:1892 MethodDeclaration linkRoots(int, int)} {UnionFind.java:1149:1316:1189:1315 MethodDeclaration initializeSingletonSets()}
Discarded match with score 0.057	 {UnionFind.java:1506:1893:1561:1892 MethodDeclaration linkRoots(int, int)} {UnionFind.java:1322:1675:1357:1674 MethodDeclaration findRoot(int)}
Discarded match with score 0.049	 {UnionFind.java:1506:1893:1561:1892 MethodDeclaration linkRoots(int, int)} {UnionFind.java:2254:2415:2298:2414 MethodDeclaration validateSize(int)}
Discarded match with score 0.062	 {UnionFind.java:2311:2742:2351:2741 MethodDeclaration main(String[])} {UnionFind.java:1149:1316:1189:1315 MethodDeclaration initializeSingletonSets()}
Discarded match with score 0.033	 {UnionFind.java:2311:2742:2351:2741 MethodDeclaration main(String[])} {UnionFind.java:1681:2077:1745:2076 MethodDeclaration mergeDistinctRoots(int, int)}
Discarded match with score 0.026	 {UnionFind.java:2311:2742:2351:2741 MethodDeclaration main(String[])} {UnionFind.java:1322:1675:1357:1674 MethodDeclaration findRoot(int)}
Discarded match with score 0.052	 {UnionFind.java:2311:2742:2351:2741 MethodDeclaration main(String[])} {UnionFind.java:2254:2415:2298:2414 MethodDeclaration validateSize(int)}

## run 004 commit 7c7d5233d5b10c8aefe5e137707d1b820d4f0a7b
Discarded EXTRACT with score 0.000	 {UnionFindDemo.java:76:486:116:485 MethodDeclaration main(String[])} {DisjointSet.java:63:100:100:100 MethodDeclaration union(int, int)}
Discarded EXTRACT with score 0.000	 {UnionFindDemo.java:76:486:116:485 MethodDeclaration main(String[])} {DisjointSet.java:106:147:147:147 MethodDeclaration connected(int, int)}
Discarded EXTRACT with score 0.000	 {UnionFindDemo.java:76:486:116:485 MethodDeclaration main(String[])} {DisjointSet.java:190:207:207:207 MethodDeclaration components()}
Discarded EXTRACT with score 0.000	 {UnionFindDemo.java:76:486:116:485 MethodDeclaration main(String[])} {DisjointSet.java:153:184:184:184 MethodDeclaration componentSize(int)}

## run 006 commit 0a1c57afd5e4a1433a824ac3598c6102356f16dc
Discarded match by conflict	 {UnionFind.java:635:950:694:949 MethodDeclaration union(int, int)} {ArrayDisjointSet.java:649:964:708:963 MethodDeclaration union(int, int)}
Discarded match by conflict	 {UnionFind.java:956:1069:1019:1068 MethodDeclaration connected(int, int)} {ArrayDisjointSet.java:970:1083:1033:1082 MethodDeclaration connected(int, int)}
Discarded match by conflict	 {UnionFind.java:1075:1179:1128:1178 MethodDeclaration componentSize(int)} {ArrayDisjointSet.java:1089:1193:1142:1192 MethodDeclaration componentSize(int)}
Discarded match by conflict	 {UnionFind.java:513:629:557:628 MethodDeclaration find(int)} {ArrayDisjointSet.java:527:643:571:642 MethodDeclaration find(int)}
