run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,1,91,68,159,97.886,0,0,e019c0952900f8c97fe831fef51490f11c8ae607,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260618T152535Z-gpt-5.4-mini-high-Agent
2,1,79,35,114,98.428,0,0,73c2d5f4ac7fb45709ce6a14d24b1d570075f2a9,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260618T152535Z-gpt-5.4-mini-high-Agent
3,1,74,31,105,119.284,0,0,efea75ff8dd39bc9bce18864a1e493b512b294af,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260618T152535Z-gpt-5.4-mini-high-Agent
4,1,50,24,74,167.839,0,0,b0379b83e2f8983462716bbe990e051b523f5942,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260618T152535Z-gpt-5.4-mini-high-Agent
5,2,88,89,177,80.752,0,0,4ded03452bf320ed0b1a9a1d88b868d1cc25288e,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260618T152535Z-gpt-5.4-mini-high-Agent
6,2,23,35,58,75.061,0,0,87e8a9bf9eb506db17d05a03d400a9b8e80225ff,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260618T152535Z-gpt-5.4-mini-high-Agent
7,2,64,63,127,91.416,0,0,82c7e1339252a65d0003effa5ae974585daa2005,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260618T152535Z-gpt-5.4-mini-high-Agent
8,2,15,12,27,54.071,0,0,ce72a4c5c2159f45c2058040601df2b4f7699537,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260618T152535Z-gpt-5.4-mini-high-Agent
9,2,26,1,27,80.797,0,0,6bd6d320591f2555cb64e398a05de4ce44b84c2e,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260618T152535Z-gpt-5.4-mini-high-Agent
10,2,7,23,30,81.151,0,0,2e6084d0b53c38e6cf8e58df450258c57e9f4f65,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260618T152535Z-gpt-5.4-mini-high-Agent
