run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,74,77,151,56.029,0,0,ed34d2f80b87495427516ce70fc0e57f11d662d2,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260618T175122Z-gpt-5.4-mini-high-Agent
2,1,45,28,73,43.233,0,0,a0086d586e7e36b3e3f4cdfb455bbfe8429338ac,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260618T175122Z-gpt-5.4-mini-high-Agent
3,1,19,10,29,34.616,0,0,f347e444088b5163b8f7d2f361b1e8347e8852af,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260618T175122Z-gpt-5.4-mini-high-Agent
4,2,37,42,79,33.740,0,0,4fb6b9e13fb026feee3490f5873389ef2f6bd931,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260618T175122Z-gpt-5.4-mini-high-Agent
5,2,97,0,97,68.565,0,0,55ba0458ca19acebd3be6485a13c4c4109edb731,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260618T175122Z-gpt-5.4-mini-high-Agent
6,2,4,9,13,53.719,0,0,d0043cd85f24796e83e1ca3059581c3fe7f1c1bb,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260618T175122Z-gpt-5.4-mini-high-Agent
7,1,27,14,41,45.399,0,0,51ce92a3aa907ed4aebae881531618e80cc34128,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260618T175122Z-gpt-5.4-mini-high-Agent
8,1,14,14,28,52.055,0,0,c6310b8780dd0de52a03741dc1e9fcfb0e5dd6b9,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260618T175122Z-gpt-5.4-mini-high-Agent
9,2,73,40,113,48.816,0,0,a35e24f2d92aec198a10cb343625b7683b29fc28,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260618T175122Z-gpt-5.4-mini-high-Agent
10,2,9,20,29,46.168,0,0,d88f61ea31814c74ac7c65e47f000c77ecfecd91,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260618T175122Z-gpt-5.4-mini-high-Agent
