run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,1,85,37,122,85.817,0,0,d393c5058549e8efcd6a8079f339776f6fcc36f3,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260618T193038Z-gpt-5.4-mini-high-Agent
2,1,26,29,55,45.882,0,0,7bf19bd6591888c51b4e10ec35c9cb83fec29ab6,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260618T193038Z-gpt-5.4-mini-high-Agent
3,1,33,14,47,95.606,0,0,d70b26b594ffa80dc6eefbeb227a80be711152ba,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260618T193038Z-gpt-5.4-mini-high-Agent
4,1,36,20,56,78.149,0,0,a11d35158f46bd6f04489ea76bbbc636473f36fc,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260618T193038Z-gpt-5.4-mini-high-Agent
5,1,64,22,86,185.372,0,0,5355f5b3ca24ebba4ef6d8cca38408b63348d25b,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260618T193038Z-gpt-5.4-mini-high-Agent
6,1,49,21,70,104.790,0,0,87bb83d3bfe3f61d9582e2ddcdd4d9f3076dae52,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260618T193038Z-gpt-5.4-mini-high-Agent
7,1,55,8,63,59.441,0,0,852ff3d4ac0c62d2c73625fd5f79dc59d37df598,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260618T193038Z-gpt-5.4-mini-high-Agent
8,1,12,31,43,79.516,0,0,127b1767fc34541e2a60d3202f68d4b8714ae6a5,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260618T193038Z-gpt-5.4-mini-high-Agent
9,1,31,28,59,52.521,0,0,2b232d418fa569575e1377638266f9cd5cf3553b,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260618T193038Z-gpt-5.4-mini-high-Agent
10,1,22,19,41,95.957,0,0,c34759dbb7e9682efb8e224aa1df9191de9572a4,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260618T193038Z-gpt-5.4-mini-high-Agent
