run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,36,29,65,46.892,0,0,147a84a993061d01a48939a75b0dab4426ef99f3,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260618T220605Z-gpt-5.4-mini-high-Agent
2,1,15,4,19,37.666,0,0,1a1cae1a867df9404474a0ff41b232c55311cd39,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260618T220605Z-gpt-5.4-mini-high-Agent
3,1,41,3,44,76.780,0,0,4feadb3da9df848c3f6d382634e998a02979558e,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260618T220605Z-gpt-5.4-mini-high-Agent
4,3,99,41,140,84.607,0,0,6c3c8a40c563019397726b4bc7cacaedac441fd7,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260618T220605Z-gpt-5.4-mini-high-Agent
5,2,6,3,9,53.040,0,0,34de29d099fc82073408af0563b07c6bf161f5bf,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260618T220605Z-gpt-5.4-mini-high-Agent
6,2,36,6,42,65.998,0,0,4639fc233f4ed4a60cc5674621f39ba0ea7908d2,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260618T220605Z-gpt-5.4-mini-high-Agent
7,2,36,1,37,43.988,0,0,24ea6034289a0a6481e53e942a4b1ba30a0a4556,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260618T220605Z-gpt-5.4-mini-high-Agent
8,3,92,31,123,78.039,0,0,7c6df17c2ce1349ca13ef8a2b4c71e40d17d5cdb,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260618T220605Z-gpt-5.4-mini-high-Agent
9,4,55,41,96,72.671,0,0,bc5c6857b6adf3e69586098eaef08c7b4e6b7384,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260618T220605Z-gpt-5.4-mini-high-Agent
10,2,9,11,20,45.637,0,0,9c86efce1f79d66faaf052f24aefb66198d58260,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260618T220605Z-gpt-5.4-mini-high-Agent
