run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,75,61,136,76.715,0,0,1f83c0c82065fe0f8f4d3e166afdf76a4a89c5b5,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260619T225102Z-gpt-5.4-mini-high-Agent
2,1,55,34,89,43.538,0,0,b0a90a1216fac4a1733e2162b511882b53f6dd64,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260619T225102Z-gpt-5.4-mini-high-Agent
3,4,121,80,201,66.584,0,0,926a5e14c029c9b3de98a12d0dabe84b76509995,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260619T225102Z-gpt-5.4-mini-high-Agent
4,5,28,4,32,71.267,0,0,2d582a15c32d2d6bc1e62a0c362caba80649a140,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260619T225102Z-gpt-5.4-mini-high-Agent
5,7,182,25,207,130.718,0,0,1f49df755ac2c92a6a73a8e49fbd21272b7c83bc,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260619T225102Z-gpt-5.4-mini-high-Agent
6,3,35,11,46,90.360,0,0,367c76f03384808ac985d00a24b7b2b0b2737101,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260619T225102Z-gpt-5.4-mini-high-Agent
7,7,42,200,242,117.936,0,0,ebbdd33b103097e010bf1facd1d364c1fd6e1b38,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260619T225102Z-gpt-5.4-mini-high-Agent
8,5,26,50,76,48.508,0,0,0a15f280a06844157ad450ef5565f0169b2fd01c,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260619T225102Z-gpt-5.4-mini-high-Agent
9,2,18,11,29,46.125,0,0,af28b5d6021fdd35bed16b47de47da87f250b90e,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260619T225102Z-gpt-5.4-mini-high-Agent
10,1,32,10,42,44.014,0,0,7c6ea0bb06425a1ed99c7536a78a43e620b4c821,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260619T225102Z-gpt-5.4-mini-high-Agent
