run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,88,67,155,54.576,0,0,202f8b3e84d86817247b1505435ff4b952443095,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260619T234217Z-gpt-5.4-mini-high-Agent
2,2,22,11,33,28.643,0,0,f8bebb71b215621c69ebc5ec48cde20f5f955e5b,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260619T234217Z-gpt-5.4-mini-high-Agent
3,3,68,30,98,59.532,0,0,097ba16a4b75e387af065822d0ca8b6105d37064,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260619T234217Z-gpt-5.4-mini-high-Agent
4,2,48,47,95,59.360,0,0,54325434e85f8b8aec1d258152abeb32d39b88c0,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260619T234217Z-gpt-5.4-mini-high-Agent
5,3,105,80,185,50.876,0,0,2a2329cd9755dc6ffe6447d7d056b3d941a1683c,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260619T234217Z-gpt-5.4-mini-high-Agent
6,4,8,0,8,49.895,0,0,35a8153af00a9d753b39f3a154440fa8c92bb605,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260619T234217Z-gpt-5.4-mini-high-Agent
7,2,71,20,91,57.037,0,0,e53220c1a1a64134d00401c98bb29b3f548ac7e1,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260619T234217Z-gpt-5.4-mini-high-Agent
8,3,72,12,84,55.248,0,0,af28f5ba309109281bb77c6b4bf1e679ae47434c,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260619T234217Z-gpt-5.4-mini-high-Agent
9,6,87,64,151,99.612,0,0,2873ea3391520e504ead9f5ffec1ab1619fcfa66,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260619T234217Z-gpt-5.4-mini-high-Agent
10,1,12,8,20,38.386,0,0,d9fd1b5135c863d2c56c78a2c1de8f23cc05f299,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260619T234217Z-gpt-5.4-mini-high-Agent
