run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,1,30,13,43,33.844,0,0,fb728ae6c84f80f02c1bed1c5427fa5c31829082,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260620T003436Z-gpt-5.4-mini-high-Agent
2,1,46,17,63,36.118,0,0,2f811166c3777507cc503a5f7d8359f979977223,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260620T003436Z-gpt-5.4-mini-high-Agent
3,1,15,8,23,42.848,0,0,1f24a559d63d6ed39ad807abfade95c0fa004aa9,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260620T003436Z-gpt-5.4-mini-high-Agent
4,1,18,13,31,31.319,0,0,eeab38343ab05221c5caca7f93fec0c16d1b3e50,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260620T003436Z-gpt-5.4-mini-high-Agent
5,1,34,15,49,43.959,0,0,b80343d130803bf6623104d926d24d4f708aa659,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260620T003436Z-gpt-5.4-mini-high-Agent
6,1,5,6,11,31.956,0,0,d0f3909252514138e847e4e5c51a22967b00a8ce,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260620T003436Z-gpt-5.4-mini-high-Agent
7,1,14,14,28,29.215,0,0,697d4fa59f86fd8749a446070e653c343e8f1041,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260620T003436Z-gpt-5.4-mini-high-Agent
8,1,33,33,66,30.197,0,0,11d6a4d3b76370bb82df0174ded537fb2499cca3,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260620T003436Z-gpt-5.4-mini-high-Agent
9,1,8,4,12,36.146,0,0,fac19b43a7f4894953072090658cc67d2870a704,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260620T003436Z-gpt-5.4-mini-high-Agent
10,1,13,9,22,28.281,0,0,885ff2e920de9c82f64ef32c606a64488a7543b0,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260620T003436Z-gpt-5.4-mini-high-Agent
