run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,1,69,22,91,45.268,0,0,45b72f1a0a2b84070115ec43a510d9d4a0bfabf3,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260620T014628Z-gpt-5.4-mini-high-Agent
2,1,88,13,101,77.263,0,0,880dcc93b7692f520c3bc81a43a743ef38ff5b7e,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260620T014628Z-gpt-5.4-mini-high-Agent
3,2,53,37,90,64.155,0,0,22e14a86e2bf90d8e5a85dde5a86790f0a701e8a,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260620T014628Z-gpt-5.4-mini-high-Agent
4,2,42,18,60,54.798,0,0,2b63670694a7417ac162f6e872e60d540d995844,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260620T014628Z-gpt-5.4-mini-high-Agent
5,3,123,62,185,84.860,0,0,f5612367bbd586cc8061e6da284c7fc385286317,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260620T014628Z-gpt-5.4-mini-high-Agent
6,3,83,83,166,59.328,0,0,4f19380937019771b27c4703bd7c5cfb0fe2cd84,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260620T014628Z-gpt-5.4-mini-high-Agent
7,3,82,71,153,54.601,0,0,e8c3bd527e20392fe2a08f7e029b08c1524e94b8,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260620T014628Z-gpt-5.4-mini-high-Agent
8,5,34,24,58,59.841,0,0,6a18157d5f907bdd1531b8965d101374d6604f57,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260620T014628Z-gpt-5.4-mini-high-Agent
9,2,50,9,59,42.834,0,0,b6e4cf8c31734a6d740ad59fd5fe4dbeb8c6a1e5,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260620T014628Z-gpt-5.4-mini-high-Agent
10,3,58,23,81,66.808,0,0,a2eb862d84a93c77ea063a36452cc130c59bddea,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260620T014628Z-gpt-5.4-mini-high-Agent
