run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,125,67,192,70.246,0,0,49921a1f79d54e7f5297089d635bd8f7f020c451,codex-exp: iteration 1,gpt-5.4,codex-exp/20260620T024703Z-gpt-5.4-high-Agent
2,2,75,31,106,108.395,0,0,43e317a2042c89f213ed481c99ec1531b22ab363,codex-exp: iteration 2,gpt-5.4,codex-exp/20260620T024703Z-gpt-5.4-high-Agent
3,6,131,120,251,83.688,0,0,9c3b6450702e5fc90741021e7ed5e29aa218cd77,codex-exp: iteration 3,gpt-5.4,codex-exp/20260620T024703Z-gpt-5.4-high-Agent
4,4,55,19,74,67.636,0,0,8c5a971bd37c03d9f660fdf7347b89be899d31cd,codex-exp: iteration 4,gpt-5.4,codex-exp/20260620T024703Z-gpt-5.4-high-Agent
5,4,49,23,72,66.041,0,0,ad2f00550ac2062f6b0b448f3cc2b9e2f7435fe9,codex-exp: iteration 5,gpt-5.4,codex-exp/20260620T024703Z-gpt-5.4-high-Agent
6,4,24,6,30,71.009,0,0,12812bd78e6bd69cedbb2772c1f6b8b63b770033,codex-exp: iteration 6,gpt-5.4,codex-exp/20260620T024703Z-gpt-5.4-high-Agent
7,6,60,100,160,87.874,0,0,4faa2ba7a11d3952c74bdbaf6acc1e006cfcfbd6,codex-exp: iteration 7,gpt-5.4,codex-exp/20260620T024703Z-gpt-5.4-high-Agent
8,4,34,14,48,106.462,0,0,605c026a626ba64601187a21c517146664ded3c4,codex-exp: iteration 8,gpt-5.4,codex-exp/20260620T024703Z-gpt-5.4-high-Agent
9,3,52,34,86,76.698,0,0,2b11e162d8261d0583343742dadfeacb8f6fc2a0,codex-exp: iteration 9,gpt-5.4,codex-exp/20260620T024703Z-gpt-5.4-high-Agent
10,4,41,30,71,101.067,0,0,ed53172456e545bb71d497bfab22c13864ea7629,codex-exp: iteration 10,gpt-5.4,codex-exp/20260620T024703Z-gpt-5.4-high-Agent
