run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,3,113,59,172,227.836,0,0,4a5da6edce38163709de0c69e0b8c88d9df3be30,claude-exp: iteration 1,claude-sonnet-4-6,claude-exp/20260622T021501Z-claude-sonnet-4-6-high-Agent
2,3,103,51,154,73.049,0,0,25fe2b490e17fc7a65df03811375deb257832414,claude-exp: iteration 2,claude-sonnet-4-6,claude-exp/20260622T021501Z-claude-sonnet-4-6-high-Agent
3,4,43,8,51,89.552,0,0,ac8552082803e8321b6e72e8fea22d39fd9457f2,claude-exp: iteration 3,claude-sonnet-4-6,claude-exp/20260622T021501Z-claude-sonnet-4-6-high-Agent
4,5,25,14,39,93.154,0,0,8a5404260a4e52bcfe3c518bb350d618cb77f062,claude-exp: iteration 4,claude-sonnet-4-6,claude-exp/20260622T021501Z-claude-sonnet-4-6-high-Agent
5,3,36,6,42,100.008,0,0,26a284701d0dc3b6675039147b9d29859c45a393,claude-exp: iteration 5,claude-sonnet-4-6,claude-exp/20260622T021501Z-claude-sonnet-4-6-high-Agent
6,5,19,25,44,96.274,0,0,f52f13f51f31fca5a814ee8299db8035711e4df7,claude-exp: iteration 6,claude-sonnet-4-6,claude-exp/20260622T021501Z-claude-sonnet-4-6-high-Agent
7,3,39,20,59,95.358,0,0,9e6ab01d4c65e8b3fa9f009d457307ad1239d1a9,claude-exp: iteration 7,claude-sonnet-4-6,claude-exp/20260622T021501Z-claude-sonnet-4-6-high-Agent
8,3,23,9,32,105.700,0,0,febbac20f692afae48976265563200420573bbe3,claude-exp: iteration 8,claude-sonnet-4-6,claude-exp/20260622T021501Z-claude-sonnet-4-6-high-Agent
9,2,116,6,122,251.623,0,0,9147d8bf6a63305c666d558295cadf0b4babb47a,claude-exp: iteration 9,claude-sonnet-4-6,claude-exp/20260622T021501Z-claude-sonnet-4-6-high-Agent
10,2,99,23,122,116.586,0,0,9064bb3a5fcd431d283a96904f4983fe6c352f1e,claude-exp: iteration 10,claude-sonnet-4-6,claude-exp/20260622T021501Z-claude-sonnet-4-6-high-Agent
