run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,0,0,0,0,1.739,1,0,3efcd01a665f0a1f7ef71c56548727b4a0cb7471,claude-exp: iteration 1 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T045438Z-claude-sonnet-4-6-high-Agent
2,0,0,0,0,1.097,1,0,db693194aecec675983585671af9f4b6674e7831,claude-exp: iteration 2 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T045438Z-claude-sonnet-4-6-high-Agent
3,0,0,0,0,1.418,1,0,c4194733bae9fae0bc825e4db9b6157d802a63d3,claude-exp: iteration 3 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T045438Z-claude-sonnet-4-6-high-Agent
4,0,0,0,0,1.169,1,0,bfb4f2ce3dcde0b2d9476b0d055c70f4faf167b6,claude-exp: iteration 4 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T045438Z-claude-sonnet-4-6-high-Agent
5,0,0,0,0,1.569,1,0,81fb2db510bc11b2d4c4d2ca20f559a290ba8626,claude-exp: iteration 5 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T045438Z-claude-sonnet-4-6-high-Agent
6,0,0,0,0,1.149,1,0,93342148d4b4fa8883de44bdf09215598417a558,claude-exp: iteration 6 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T045438Z-claude-sonnet-4-6-high-Agent
7,0,0,0,0,1.189,1,0,aeb4ff1fd497a08aa8addcee4eb1889d13415832,claude-exp: iteration 7 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T045438Z-claude-sonnet-4-6-high-Agent
8,0,0,0,0,1.374,1,0,8b8a79cc7e8aa939a4ef5cdbae795cc630dd3d9f,claude-exp: iteration 8 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T045438Z-claude-sonnet-4-6-high-Agent
9,0,0,0,0,1.094,1,0,acb8a6d6539420e314c5646c3ed8f3f9ffb50323,claude-exp: iteration 9 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T045438Z-claude-sonnet-4-6-high-Agent
10,0,0,0,0,1.229,1,0,bb3a9232dc7e57eceabb1c5b1d819f35b5442eb9,claude-exp: iteration 10 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T045438Z-claude-sonnet-4-6-high-Agent
