run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,1,33,26,59,92.426,0,0,e463214912909695cf08fa7f2836ae3e68a57a01,claude-exp: iteration 1,claude-sonnet-4-6,claude-exp/20260620T090859Z-claude-sonnet-4-6-high-Agent
2,1,31,28,59,41.221,0,0,2b95e0b25f773c1275a4333e5d6daa638a2bcd81,claude-exp: iteration 2,claude-sonnet-4-6,claude-exp/20260620T090859Z-claude-sonnet-4-6-high-Agent
3,1,31,27,58,48.090,1,0,21e20949fef52720261c3185024c3bbd9afcb39f,claude-exp: iteration 3 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T090859Z-claude-sonnet-4-6-high-Agent
4,0,0,0,0,1.080,1,0,c3e0366c2e099a4a81bca2b029f4df538c1cc5d3,claude-exp: iteration 4 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T090859Z-claude-sonnet-4-6-high-Agent
5,0,0,0,0,1.279,1,0,d11a3fe4008ae91f031b0b0be93745d3ba6b3521,claude-exp: iteration 5 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T090859Z-claude-sonnet-4-6-high-Agent
6,0,0,0,0,1.128,1,0,414345caa1332d9abb6fc1ae6b2745c934039b2d,claude-exp: iteration 6 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T090859Z-claude-sonnet-4-6-high-Agent
7,0,0,0,0,1.149,1,0,339a18524d1acee054b339dc968771d5b3c56857,claude-exp: iteration 7 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T090859Z-claude-sonnet-4-6-high-Agent
8,0,0,0,0,1.695,1,0,d6293741c8e0e8cfa3c6d937b860671a0d811e47,claude-exp: iteration 8 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T090859Z-claude-sonnet-4-6-high-Agent
9,0,0,0,0,2.088,1,0,7b6cd560f1815108f82e0f7ea6e2efcff7781d2d,claude-exp: iteration 9 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T090859Z-claude-sonnet-4-6-high-Agent
10,0,0,0,0,2.379,1,0,3d1bea74bac534ca5d189890a163674aa2b20fa7,claude-exp: iteration 10 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T090859Z-claude-sonnet-4-6-high-Agent
