run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,1,110,58,168,76.472,0,0,85aca3af8d130aa1e377b308fb2d2b4ab42f8e96,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260620T094045Z-gpt-5.4-mini-high-Agent
2,7,210,144,354,86.996,0,0,68e2f8dbf628e59c5bd3bb275434c5a6c952b754,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260620T094045Z-gpt-5.4-mini-high-Agent
3,8,63,34,97,214.203,0,0,7acf66a8799a6a71d57f29119049282a76830548,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260620T094045Z-gpt-5.4-mini-high-Agent
4,5,52,15,67,93.831,0,0,b8240968e6fc403ee1336a16866d9f878405b110,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260620T094045Z-gpt-5.4-mini-high-Agent
5,5,60,4,64,76.290,0,0,35ff5ba03cd9e2c7290c08894f9ba633355c6c4c,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260620T094045Z-gpt-5.4-mini-high-Agent
6,7,159,96,255,116.333,0,0,0ec8aa5ad68fd6ac17ffa216fec07246a779bdec,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260620T094045Z-gpt-5.4-mini-high-Agent
7,4,84,18,102,55.941,0,0,a760c70d025c7d1faf4dee5a6a0a730b37086906,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260620T094045Z-gpt-5.4-mini-high-Agent
8,3,33,14,47,61.577,0,0,1a93214bb543af9fa98a0afc4f56e1c900f29429,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260620T094045Z-gpt-5.4-mini-high-Agent
9,3,53,21,74,64.369,0,0,a155776319f5c6470edbd739873636e4fa07e00b,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260620T094045Z-gpt-5.4-mini-high-Agent
10,11,60,25,85,95.073,0,0,28d8cebf6f49e5f87536cdcc10a8589fccb41635,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260620T094045Z-gpt-5.4-mini-high-Agent
