run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,0,0,0,0,1.246,1,0,9b7b00cecd40a5d1f2c4c4014cfb554c9fbc1b0b,claude-exp: iteration 1 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T095732Z-claude-sonnet-4-6-high-Agent
2,0,0,0,0,1.433,1,0,1cc787931ec96966dc5c696c15b72cc487907ea5,claude-exp: iteration 2 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T095732Z-claude-sonnet-4-6-high-Agent
3,0,0,0,0,1.189,1,0,573e8b58c074e907a687eee4f7813998004f39c8,claude-exp: iteration 3 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T095732Z-claude-sonnet-4-6-high-Agent
4,0,0,0,0,1.404,1,0,78b7c67fa13dbcf75a263c7e87ad981132a327d1,claude-exp: iteration 4 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T095732Z-claude-sonnet-4-6-high-Agent
5,0,0,0,0,1.601,1,0,4b68ef2cc2ada602895e6f4d4241159ce0ae8021,claude-exp: iteration 5 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T095732Z-claude-sonnet-4-6-high-Agent
6,0,0,0,0,1.730,1,0,f7dadbd6eb4809bd817fbeadd7551561bdce399e,claude-exp: iteration 6 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T095732Z-claude-sonnet-4-6-high-Agent
7,0,0,0,0,1.103,1,0,04bba08aefb5f55ccf534f8351cd6f8dc99038bc,claude-exp: iteration 7 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T095732Z-claude-sonnet-4-6-high-Agent
8,0,0,0,0,1.096,1,0,a87c5098e72a0d36f37374d8cdef1d0072b3e423,claude-exp: iteration 8 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T095732Z-claude-sonnet-4-6-high-Agent
9,0,0,0,0,2.194,1,0,7c0d001e78eb54f099c5a5b342f5a84b252072c8,claude-exp: iteration 9 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T095732Z-claude-sonnet-4-6-high-Agent
10,0,0,0,0,1.025,1,0,b9f6fcb419914234b4829603ba561fd8b8af4d7a,claude-exp: iteration 10 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T095732Z-claude-sonnet-4-6-high-Agent
