run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,101,97,198,58.957,0,0,844fe03e3491f441b0a36c3739569141e7b219a4,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260620T102243Z-gpt-5.4-mini-high-Agent
2,2,133,35,168,214.965,0,0,1621722bad93d8e7e0d0f5ca740f5b398d958a91,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260620T102243Z-gpt-5.4-mini-high-Agent
3,2,24,12,36,61.840,0,0,ae0da4e575bbf0c4aebbf171e28c432e657626f5,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260620T102243Z-gpt-5.4-mini-high-Agent
4,2,21,28,49,63.538,0,0,ce96a15a22696fa5e09d1a97ad778bd83b530323,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260620T102243Z-gpt-5.4-mini-high-Agent
5,2,21,5,26,74.029,0,0,ac2429b7f94b535c0e4d7036fee179f4bac9cbb2,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260620T102243Z-gpt-5.4-mini-high-Agent
6,1,15,13,28,62.874,0,0,4333b322ec3f0af904506b95abf3c0f042285f98,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260620T102243Z-gpt-5.4-mini-high-Agent
7,1,11,10,21,43.955,0,0,324e9c57a28799cd60c841a3d7b210a8b2be8f3a,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260620T102243Z-gpt-5.4-mini-high-Agent
8,1,3,5,8,38.842,0,0,b054b5ea658657b0063bc84bf775ef1c181982c8,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260620T102243Z-gpt-5.4-mini-high-Agent
9,1,9,6,15,46.484,0,0,01c19c29761ccc88a5a0985c4f7d1c282a0efb3c,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260620T102243Z-gpt-5.4-mini-high-Agent
10,1,8,2,10,41.225,0,0,558ef8cf36ce4223dac84ce5a22b44b58d01df39,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260620T102243Z-gpt-5.4-mini-high-Agent
