run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,55,39,94,45.325,0,0,5685033aebfc9c15558d36a03d1c16ed0764ce30,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260620T111404Z-gpt-5.4-mini-high-Agent
2,1,38,15,53,59.558,0,0,7cf8bca10729de19d3c17d30b3529a9165a89e60,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260620T111404Z-gpt-5.4-mini-high-Agent
3,1,38,10,48,56.521,0,0,554a3a70a686c53fdcddd27bd204463361193bb1,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260620T111404Z-gpt-5.4-mini-high-Agent
4,1,20,17,37,40.960,0,0,ed51108dd990aefa636f54290724332b12f4b87c,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260620T111404Z-gpt-5.4-mini-high-Agent
5,1,7,6,13,45.621,0,0,b2fa95599288b19b7fa339153e14b68d84f5193a,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260620T111404Z-gpt-5.4-mini-high-Agent
6,1,5,13,18,37.510,0,0,f226aba51ad384205283beed05481fc845a80ab9,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260620T111404Z-gpt-5.4-mini-high-Agent
7,1,29,6,35,53.667,0,0,755fb3bb2a5426bace35c6eb2697aacbb3a279ee,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260620T111404Z-gpt-5.4-mini-high-Agent
8,2,133,11,144,73.181,0,0,f8278b2736426699fa2d32894093923d64d0bde4,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260620T111404Z-gpt-5.4-mini-high-Agent
9,1,14,20,34,72.562,0,0,b9bc29bd014cff3aabbff19ef0d91da1e81b8d11,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260620T111404Z-gpt-5.4-mini-high-Agent
10,1,44,27,71,59.523,0,0,4af1aca58d81903be6db2d15cae35ecd26b07f26,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260620T111404Z-gpt-5.4-mini-high-Agent
