run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,34,36,70,34.647,0,0,6353ef5b780f758525edc2440990481c2ebc1400,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260620T120118Z-gpt-5.4-mini-high-Agent
2,1,17,5,22,36.535,0,0,5baacc55835e1f6841805b0d667efbb70c5b613d,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260620T120118Z-gpt-5.4-mini-high-Agent
3,2,15,14,29,64.724,0,0,410bde8ad488bc897db481b560aed91491f1d373,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260620T120118Z-gpt-5.4-mini-high-Agent
4,1,29,3,32,58.415,0,0,1fb0b29af509f9b59f684e7d619861d17fa78e49,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260620T120118Z-gpt-5.4-mini-high-Agent
5,2,37,15,52,69.895,0,0,4aca391d316385899699056d96b6a4f7e09a740d,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260620T120118Z-gpt-5.4-mini-high-Agent
6,1,31,6,37,49.878,0,0,0d0294134266afcb67e8110c2d81e6f7455d0023,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260620T120118Z-gpt-5.4-mini-high-Agent
7,2,21,13,34,79.877,0,0,174946b09fe37265f9f530c1128baab9025154e3,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260620T120118Z-gpt-5.4-mini-high-Agent
8,1,19,16,35,83.295,0,0,52a910d7e401595be59cfa44947880afbbc86c31,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260620T120118Z-gpt-5.4-mini-high-Agent
9,1,74,0,74,53.646,0,0,d30f985d0ce863ae99ff70d76d035a99f3bc1f78,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260620T120118Z-gpt-5.4-mini-high-Agent
10,1,39,0,39,95.868,0,0,b00bb6bfb45c350d3fd232ad930d5193c303170a,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260620T120118Z-gpt-5.4-mini-high-Agent
