run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,67,52,119,99.303,0,0,35e5ccc80036437c180f63b76effdd423df1adc3,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260620T125844Z-gpt-5.4-mini-high-Agent
2,1,20,2,22,83.082,0,0,aff40a10622075103513024fbc11d7d0de9e6edf,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260620T125844Z-gpt-5.4-mini-high-Agent
3,2,27,7,34,55.042,0,0,ffbf45280df102eb2003a415c8d708217065fa88,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260620T125844Z-gpt-5.4-mini-high-Agent
4,2,63,14,77,97.898,0,0,f51c433fa3cac2e31c3ab7490bcdc33d45fe9936,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260620T125844Z-gpt-5.4-mini-high-Agent
5,2,98,25,123,82.691,0,0,cf8e99775efb6012c1e94f2fff69cc868a5e50c6,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260620T125844Z-gpt-5.4-mini-high-Agent
6,2,13,33,46,64.752,0,0,36a5506efc08aa2aaca92c33203e056acc8ae43f,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260620T125844Z-gpt-5.4-mini-high-Agent
7,2,125,29,154,84.720,0,0,b2eed9210f64aef2f01955ddeb4976dcbc1ebe35,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260620T125844Z-gpt-5.4-mini-high-Agent
8,3,27,6,33,79.030,0,0,faed10246ad22ad88c6fab4a7603ad43f92ab595,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260620T125844Z-gpt-5.4-mini-high-Agent
9,1,50,46,96,75.543,0,0,b8c2237ddf8490062588412c5c2ab8d2acb0f9ee,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260620T125844Z-gpt-5.4-mini-high-Agent
10,2,28,70,98,94.684,0,0,a134464bb6f702a373376e1b36327df85b12fb6c,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260620T125844Z-gpt-5.4-mini-high-Agent
