run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,76,52,128,60.701,0,0,d238346e8dd0b2348843a258d31df2ef80557ee9,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260620T153914Z-gpt-5.4-mini-high-Agent
2,2,98,60,158,46.886,0,0,9faa8b0cfe20407df906d3f8d54cee1bbd518497,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260620T153914Z-gpt-5.4-mini-high-Agent
3,3,102,3,105,96.243,0,0,befb11b3e8e6d3e71184f4e2b43ea152e9d3bb12,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260620T153914Z-gpt-5.4-mini-high-Agent
4,4,112,59,171,119.341,0,0,acca7de4767da37f0c28194c443a743d6ec1d1b3,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260620T153914Z-gpt-5.4-mini-high-Agent
5,1,48,24,72,88.617,0,0,c35812939d8beeca6e9d7a3738b485d32844002c,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260620T153914Z-gpt-5.4-mini-high-Agent
6,3,123,112,235,64.171,0,0,fc2bbf3395627372735478aa320aa88833c23474,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260620T153914Z-gpt-5.4-mini-high-Agent
7,5,0,0,0,71.981,0,0,9d35251a4a1133d3ea1437ac7166400f49990da0,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260620T153914Z-gpt-5.4-mini-high-Agent
8,2,73,62,135,123.352,0,0,0e53ad5dc384afbffbd2b395271d787eea7be4b4,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260620T153914Z-gpt-5.4-mini-high-Agent
9,3,71,73,144,63.678,0,0,b59706399d9d9b0c81d29c01613a77f0dad9126a,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260620T153914Z-gpt-5.4-mini-high-Agent
10,3,113,119,232,62.552,0,0,59121dc5ea4b250d6d88c34815026e530c9d122d,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260620T153914Z-gpt-5.4-mini-high-Agent
