run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,7,268,39,307,151.818,0,0,e2f399a11cb745d98b86065c48207e7c422dca03,claude-exp: iteration 1,claude-opus-4-8,claude-exp/20260620T163234Z-claude-opus-4-8-high-Agent
2,4,88,31,119,125.732,0,0,f3352a0c503765dde97e6487081238510df435ae,claude-exp: iteration 2,claude-opus-4-8,claude-exp/20260620T163234Z-claude-opus-4-8-high-Agent
3,0,0,0,0,34.570,0,0,0450993ba0d61f85967859d7fe6e5ae2b380a95d,claude-exp: iteration 3,claude-opus-4-8,claude-exp/20260620T163234Z-claude-opus-4-8-high-Agent
4,0,0,0,0,23.006,0,0,e5e014c4dd82591ef92efa1b2beddc11f8534105,claude-exp: iteration 4 [clarification follow-up],claude-opus-4-8,claude-exp/20260620T163234Z-claude-opus-4-8-high-Agent
5,10,407,144,551,259.645,0,0,6a8c5c4635b890a69b23f7beaadf107a227566d3,claude-exp: iteration 5,claude-opus-4-8,claude-exp/20260620T163234Z-claude-opus-4-8-high-Agent
6,6,21,15,36,104.212,0,0,2ab00a5c29185e86b795ac5f2a23efa7302af9ac,claude-exp: iteration 6,claude-opus-4-8,claude-exp/20260620T163234Z-claude-opus-4-8-high-Agent
7,0,0,0,0,11.987,0,0,be22fe91414962895ec89b2d816f0a525433b4b7,claude-exp: iteration 7,claude-opus-4-8,claude-exp/20260620T163234Z-claude-opus-4-8-high-Agent
8,11,271,46,317,362.226,0,0,4faaea22bcf98c741dbc04c7b2e3335627d24989,claude-exp: iteration 8,claude-opus-4-8,claude-exp/20260620T163234Z-claude-opus-4-8-high-Agent
9,0,0,0,0,32.867,0,0,4aca11e3fe86f21214927c758fdcb319d5a3fa6f,claude-exp: iteration 9,claude-opus-4-8,claude-exp/20260620T163234Z-claude-opus-4-8-high-Agent
10,24,687,204,891,257.105,0,0,75182fc0faeadd55452609b63416046ec745d21a,claude-exp: iteration 10,claude-opus-4-8,claude-exp/20260620T163234Z-claude-opus-4-8-high-Agent
