run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,0,0,0,0,6.489,1,0,b1031cd84d391b5684a1a69621760b97a689ec7e,codex-exp: iteration 1 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T170012Z-gpt-5.4-mini-high-Agent
2,0,0,0,0,6.477,1,0,e9974ba610a47895412e99a0de7a693042fe8d89,codex-exp: iteration 2 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T170012Z-gpt-5.4-mini-high-Agent
3,0,0,0,0,6.467,1,0,b1507352acc2c716d5dd1c1d203ab2d4474d82ee,codex-exp: iteration 3 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T170012Z-gpt-5.4-mini-high-Agent
4,0,0,0,0,6.347,1,0,aefeea094794530881900b968d208a2fa286d35f,codex-exp: iteration 4 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T170012Z-gpt-5.4-mini-high-Agent
5,0,0,0,0,7.824,1,0,27c95c184428f201edef221b6c89304806aaefbd,codex-exp: iteration 5 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T170012Z-gpt-5.4-mini-high-Agent
6,0,0,0,0,6.434,1,0,31c6467cde942c9951313a7aa71f22201fbfa215,codex-exp: iteration 6 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T170012Z-gpt-5.4-mini-high-Agent
7,0,0,0,0,6.431,1,0,6794be5e40417678c4f303c50834a66a1dba0376,codex-exp: iteration 7 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T170012Z-gpt-5.4-mini-high-Agent
8,0,0,0,0,6.578,1,0,3329e3a28bd8aff8349fad6c4ad0d2ad825cee72,codex-exp: iteration 8 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T170012Z-gpt-5.4-mini-high-Agent
9,0,0,0,0,6.424,1,0,d268140c56ccdd9eb18b4e171a46775e589ea23c,codex-exp: iteration 9 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T170012Z-gpt-5.4-mini-high-Agent
10,0,0,0,0,9.034,1,0,fcbf475bc1ece671a211bb82663365038371849e,codex-exp: iteration 10 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T170012Z-gpt-5.4-mini-high-Agent
