run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,4,331,30,361,307.063,0,0,db6291815d63c2698e5716cf4dc734f4be8ac375,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260625T221234Z-gpt-5.4-mini-high-Agent
2,1,13,36,49,57.450,0,0,72c6c126bf5009608b2818c65e37850a436acc41,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260625T221234Z-gpt-5.4-mini-high-Agent
3,3,41,18,59,91.871,0,0,b4b6791799197bd9b79f3a32c8677d00d1a92058,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260625T221234Z-gpt-5.4-mini-high-Agent
4,4,62,22,84,175.642,0,0,9dc23c513fcce3aa2cd02921be6fbd87a3bf9c85,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260625T221234Z-gpt-5.4-mini-high-Agent
5,3,6,13,19,130.716,0,0,7608f8bd562c3dd27b43fea1d6ae5c452ca483be,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260625T221234Z-gpt-5.4-mini-high-Agent
6,3,8,8,16,104.353,0,0,fcee7d869ade712cb642b81df1ed8ac27359d5a2,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260625T221234Z-gpt-5.4-mini-high-Agent
7,4,54,47,101,109.590,0,0,9b0170ccdd069502d3bab6c9f1d994a6ddc8ef5e,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260625T221234Z-gpt-5.4-mini-high-Agent
8,5,28,54,82,194.198,0,0,ddc10595891bade23a020198145c8c97f44bfc4b,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260625T221234Z-gpt-5.4-mini-high-Agent
9,3,10,8,18,78.044,0,0,3d81726c70211a26e6b412cc6a431b04ef69e812,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260625T221234Z-gpt-5.4-mini-high-Agent
10,3,12,10,22,90.577,0,0,4ef8e224ca4819161cb991dd14ddac9376aa8c26,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260625T221234Z-gpt-5.4-mini-high-Agent
