run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,1,171,186,357,142.299,0,0,89482fcab2c7549e78b8aa453aebf16ada88901e,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260625T234154Z-gpt-5.4-mini-high-Agent
2,1,159,51,210,119.309,0,0,d80494b87f7aa2805641d987769bce7aab28fff2,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260625T234154Z-gpt-5.4-mini-high-Agent
3,1,8,7,15,45.888,0,0,2ad6d966393be7c593d21bc17fc021de4c567527,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260625T234154Z-gpt-5.4-mini-high-Agent
4,1,63,11,74,72.293,0,0,e58e1b9f63a7b4d25af365c52592e542ab9b77fd,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260625T234154Z-gpt-5.4-mini-high-Agent
5,1,85,63,148,150.038,0,0,412787e92fb80228989deb4f29df8a75f272fa59,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260625T234154Z-gpt-5.4-mini-high-Agent
6,1,20,31,51,76.759,0,0,7ee35cd37ca21dc43e3ce4949512a77e583e2386,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260625T234154Z-gpt-5.4-mini-high-Agent
7,2,23,35,58,58.048,0,0,365bc21f8b564161b79d31bdf6953c9bdc1a6aec,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260625T234154Z-gpt-5.4-mini-high-Agent
8,1,3,3,6,70.211,0,0,9678e868e1f1019446238ad14f2056c849429115,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260625T234154Z-gpt-5.4-mini-high-Agent
9,1,22,10,32,64.984,0,0,a952a2910dd68e18c7508a22480b0024ccae5e5c,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260625T234154Z-gpt-5.4-mini-high-Agent
10,2,18,4,22,72.254,0,0,f9f82e56a9a25177ce1e9087305c44686791438a,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260625T234154Z-gpt-5.4-mini-high-Agent
