run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,0,0,0,0,6.407,1,0,73e3f3de3b186ce909b1c2a96eb776eb2da6af0b,codex-exp: iteration 1 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T185304Z-gpt-5.4-mini-high-Agent
2,0,0,0,0,7.027,1,0,a03a30f293896815ef4641562f44d7956f6d3357,codex-exp: iteration 2 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T185304Z-gpt-5.4-mini-high-Agent
3,0,0,0,0,6.707,1,0,7bf8d342eae1feba05a4d6239c355941e702c000,codex-exp: iteration 3 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T185304Z-gpt-5.4-mini-high-Agent
4,0,0,0,0,6.508,1,0,bc76bc866dc01b5b417b0b4c835333c55da2a7b7,codex-exp: iteration 4 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T185304Z-gpt-5.4-mini-high-Agent
5,0,0,0,0,6.430,1,0,38d34aeb36b8cbb7f384e95517ba3971a6a97d77,codex-exp: iteration 5 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T185304Z-gpt-5.4-mini-high-Agent
6,0,0,0,0,6.795,1,0,3f37e0f9d010bbfc2d906113870d68ea6b76a805,codex-exp: iteration 6 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T185304Z-gpt-5.4-mini-high-Agent
7,0,0,0,0,6.710,1,0,1da130ba2875dcb3f8a6ff14181fc275f7f4a2af,codex-exp: iteration 7 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T185304Z-gpt-5.4-mini-high-Agent
8,0,0,0,0,6.340,1,0,060ac7effff72f3df4de5c99e59f354ec7c99b67,codex-exp: iteration 8 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T185304Z-gpt-5.4-mini-high-Agent
9,0,0,0,0,6.491,1,0,527e21642d4838d56564697cf9edde0026c3e55c,codex-exp: iteration 9 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T185304Z-gpt-5.4-mini-high-Agent
10,0,0,0,0,10.437,1,0,df76eba197a5bd6579d8649a30b240bf4bd4b6a2,codex-exp: iteration 10 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T185304Z-gpt-5.4-mini-high-Agent
