run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,0,0,0,0,1.298,1,0,85bb53e80a1b03058a7facfc0091211dfc133221,claude-exp: iteration 1 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T185416Z-claude-sonnet-4-6-high-Agent
2,0,0,0,0,1.408,1,0,4564a95377419478ab83da20b0ec6dec1256c534,claude-exp: iteration 2 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T185416Z-claude-sonnet-4-6-high-Agent
3,0,0,0,0,1.387,1,0,8c667b180d019fb9592d525ffdd0d1b0a246a40d,claude-exp: iteration 3 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T185416Z-claude-sonnet-4-6-high-Agent
4,0,0,0,0,1.302,1,0,71b0229e5dec1ca6bde39c074b4e63621969d79f,claude-exp: iteration 4 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T185416Z-claude-sonnet-4-6-high-Agent
5,0,0,0,0,1.305,1,0,eac4d7c6aacf9d20c11aaea60dddc65591da4b5b,claude-exp: iteration 5 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T185416Z-claude-sonnet-4-6-high-Agent
6,0,0,0,0,1.153,1,0,1059b19a38222cf7b03d12654c993ad90472ddac,claude-exp: iteration 6 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T185416Z-claude-sonnet-4-6-high-Agent
7,0,0,0,0,1.173,1,0,9514c247b0e652d5f83f960e89c293b7215b7d81,claude-exp: iteration 7 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T185416Z-claude-sonnet-4-6-high-Agent
8,0,0,0,0,1.477,1,0,dcdd33cd5e22bd3b969688497af78f158c733f87,claude-exp: iteration 8 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T185416Z-claude-sonnet-4-6-high-Agent
9,0,0,0,0,1.159,1,0,2b5b43f8be63f0c39c381c4d498f8a1dbc06f95c,claude-exp: iteration 9 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T185416Z-claude-sonnet-4-6-high-Agent
10,0,0,0,0,1.175,1,0,502a211c3e7305e54e38ce5a28f512d6bb0ed46a,claude-exp: iteration 10 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T185416Z-claude-sonnet-4-6-high-Agent
