run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,0,0,0,0,6.472,1,0,f161ed2c6a962ab834ddbe97b6f8298e562bfbd1,codex-exp: iteration 1 [codex failed exit=1 timed_out=0],gpt-5.4,codex-exp/20260620T185559Z-gpt-5.4-high-Agent
2,0,0,0,0,6.325,1,0,31aa532c4947952bc24d19b1689d63110cf23218,codex-exp: iteration 2 [codex failed exit=1 timed_out=0],gpt-5.4,codex-exp/20260620T185559Z-gpt-5.4-high-Agent
3,0,0,0,0,6.395,1,0,ea2d1a773f4aa19478a2a51daf9faea0ec463f43,codex-exp: iteration 3 [codex failed exit=1 timed_out=0],gpt-5.4,codex-exp/20260620T185559Z-gpt-5.4-high-Agent
4,0,0,0,0,6.407,1,0,1fb4e8ba3782daf1be5627c11561f8778f146520,codex-exp: iteration 4 [codex failed exit=1 timed_out=0],gpt-5.4,codex-exp/20260620T185559Z-gpt-5.4-high-Agent
5,0,0,0,0,6.439,1,0,c9a102a12e0cf876a295c0316953ed453dd9fd64,codex-exp: iteration 5 [codex failed exit=1 timed_out=0],gpt-5.4,codex-exp/20260620T185559Z-gpt-5.4-high-Agent
6,0,0,0,0,8.887,1,0,d4758b54180e4a37c891dccc4e987c729dcd4a1b,codex-exp: iteration 6 [codex failed exit=1 timed_out=0],gpt-5.4,codex-exp/20260620T185559Z-gpt-5.4-high-Agent
7,0,0,0,0,6.434,1,0,9f042241a8f41dcdc973666c4b489f726ce2e5ef,codex-exp: iteration 7 [codex failed exit=1 timed_out=0],gpt-5.4,codex-exp/20260620T185559Z-gpt-5.4-high-Agent
8,0,0,0,0,6.383,1,0,89eb6329b8b588110f01944202689b818eafc3ff,codex-exp: iteration 8 [codex failed exit=1 timed_out=0],gpt-5.4,codex-exp/20260620T185559Z-gpt-5.4-high-Agent
9,0,0,0,0,6.473,1,0,128ae0b0a6d09a13a1af9d86f02dd00aa004448d,codex-exp: iteration 9 [codex failed exit=1 timed_out=0],gpt-5.4,codex-exp/20260620T185559Z-gpt-5.4-high-Agent
10,0,0,0,0,6.371,1,0,2d2eb218eaf606da4c952d6ff9dcd43de1eb4e49,codex-exp: iteration 10 [codex failed exit=1 timed_out=0],gpt-5.4,codex-exp/20260620T185559Z-gpt-5.4-high-Agent
