run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,0,0,0,0,6.431,1,0,5c92957023b86191dd3820812c5c931bc50812d9,codex-exp: iteration 1 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T190107Z-gpt-5.4-mini-high-Agent
2,0,0,0,0,6.715,1,0,87424640881f32a89e2cd4c0e87e1571baba44e4,codex-exp: iteration 2 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T190107Z-gpt-5.4-mini-high-Agent
3,0,0,0,0,6.614,1,0,4af230e7ea53f98beac7177acab7881bc8d04955,codex-exp: iteration 3 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T190107Z-gpt-5.4-mini-high-Agent
4,0,0,0,0,6.314,1,0,2eee97e16e87ecbb26af515cd8c6d53f10473aa5,codex-exp: iteration 4 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T190107Z-gpt-5.4-mini-high-Agent
5,0,0,0,0,10.659,1,0,7112ac60dcd0ba65a7170136843c70f438b8f514,codex-exp: iteration 5 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T190107Z-gpt-5.4-mini-high-Agent
6,0,0,0,0,6.340,1,0,09437721de77ac28ef58dc3f82e4e83724ee139b,codex-exp: iteration 6 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T190107Z-gpt-5.4-mini-high-Agent
7,0,0,0,0,6.510,1,0,b8c6adba8dd4b05bbbab64c1ec99a4e86a8c173e,codex-exp: iteration 7 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T190107Z-gpt-5.4-mini-high-Agent
8,0,0,0,0,6.429,1,0,df1c36da6c70cc20b5fcfa983c10c67eca706297,codex-exp: iteration 8 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T190107Z-gpt-5.4-mini-high-Agent
9,0,0,0,0,6.895,1,0,374eaf8d2159206e2788cba58ef8f9a4ea5725ae,codex-exp: iteration 9 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T190107Z-gpt-5.4-mini-high-Agent
10,0,0,0,0,6.339,1,0,4baef4a9dec1603a4a2404f0ea2081f28c0eb6b1,codex-exp: iteration 10 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260620T190107Z-gpt-5.4-mini-high-Agent
