run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,66,43,109,61.167,0,0,96c619a56d55de68bd10303944dd348b0d388ef1,claude-exp: iteration 1,claude-opus-4-8,claude-exp/20260622T085036Z-claude-opus-4-8-high-Agent
2,0,0,0,0,27.241,0,0,6655c6663b6705fc282b386a8b8130cc68a2aa61,claude-exp: iteration 2,claude-opus-4-8,claude-exp/20260622T085036Z-claude-opus-4-8-high-Agent
3,0,0,0,0,17.288,0,0,6927bcaf243d7fffe457f05149237e191326877f,claude-exp: iteration 3,claude-opus-4-8,claude-exp/20260622T085036Z-claude-opus-4-8-high-Agent
4,0,0,0,0,9.645,0,0,7121b0138e5107c2f703fbddce9641e49f8e7a90,claude-exp: iteration 4,claude-opus-4-8,claude-exp/20260622T085036Z-claude-opus-4-8-high-Agent
5,0,0,0,0,4.959,0,0,cb57e03fe8e0c9f3c0ab5ddbf70161cdf0dac892,claude-exp: iteration 5,claude-opus-4-8,claude-exp/20260622T085036Z-claude-opus-4-8-high-Agent
6,1,125,0,125,53.531,0,0,7d896dc0740fd7c51405f6a6c3efe78763fae0d8,claude-exp: iteration 6,claude-opus-4-8,claude-exp/20260622T085036Z-claude-opus-4-8-high-Agent
7,0,0,0,0,12.415,0,0,fe88cf09506d2c12b8823eb9b8267bce411a3384,claude-exp: iteration 7,claude-opus-4-8,claude-exp/20260622T085036Z-claude-opus-4-8-high-Agent
8,0,0,0,0,4.925,0,0,5893380fcdea5dd657814a959f9606639f7843ff,claude-exp: iteration 8,claude-opus-4-8,claude-exp/20260622T085036Z-claude-opus-4-8-high-Agent
9,0,0,0,0,4.793,0,0,bc2e70d8962f82938fd8b3e7d51095d8e26176d2,claude-exp: iteration 9,claude-opus-4-8,claude-exp/20260622T085036Z-claude-opus-4-8-high-Agent
10,0,0,0,0,3.624,0,0,52111ec667edbe2ee3068d4e1157644e622427ba,claude-exp: iteration 10,claude-opus-4-8,claude-exp/20260622T085036Z-claude-opus-4-8-high-Agent
