run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,0,0,0,0,1.177,1,0,4afa89d9febf13404262a399fd9bee113d63b688,claude-exp: iteration 1 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T190617Z-claude-sonnet-4-6-high-Agent
2,0,0,0,0,1.215,1,0,b649fda63a6ecc9f9447aac797655a878285a5e8,claude-exp: iteration 2 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T190617Z-claude-sonnet-4-6-high-Agent
3,0,0,0,0,1.066,1,0,a16df58eaf8c0cf04541a37c7139717ba0ac1c06,claude-exp: iteration 3 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T190617Z-claude-sonnet-4-6-high-Agent
4,0,0,0,0,1.171,1,0,ef757df5e7ee31fcb04c2ac9c8bf7c8c683a05ab,claude-exp: iteration 4 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T190617Z-claude-sonnet-4-6-high-Agent
5,0,0,0,0,1.043,1,0,1e9777fd75783c8c9144415f10612be1ddd0d665,claude-exp: iteration 5 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T190617Z-claude-sonnet-4-6-high-Agent
6,0,0,0,0,1.084,1,0,bf850bb8c2ca316d2b207625a21b8e1ebf214a11,claude-exp: iteration 6 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T190617Z-claude-sonnet-4-6-high-Agent
7,0,0,0,0,1.047,1,0,750241cb6406e877837762148b96187f2dd85f42,claude-exp: iteration 7 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T190617Z-claude-sonnet-4-6-high-Agent
8,0,0,0,0,1.078,1,0,be60f98279e3eb9ed4b4383fbc0a09a61ec40623,claude-exp: iteration 8 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T190617Z-claude-sonnet-4-6-high-Agent
9,0,0,0,0,1.535,1,0,6f25bf7588b1e0d7ac6b2718232a176b5ad20126,claude-exp: iteration 9 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T190617Z-claude-sonnet-4-6-high-Agent
10,0,0,0,0,1.468,1,0,26766d9dd60f21992ed26a4f6b9960cabc71bfaf,claude-exp: iteration 10 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T190617Z-claude-sonnet-4-6-high-Agent
