run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,1,53,6,59,107.235,0,0,2f30920de2a2b7853cf9d83d9714df947d5f868d,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260626T010820Z-gpt-5.4-mini-high-Agent
2,1,7,3,10,91.679,0,0,83f610b86487b56cfc4f3c0afdc033ffa2c14516,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260626T010820Z-gpt-5.4-mini-high-Agent
3,3,77,29,106,165.793,0,0,79d8d8709e706630301a52dd823094b8a05a7032,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260626T010820Z-gpt-5.4-mini-high-Agent
4,3,6,5,11,111.892,0,0,61cb4d2df092ee4f7644d7f2b64b25558efbbd3b,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260626T010820Z-gpt-5.4-mini-high-Agent
5,3,57,29,86,53.894,1,0,10ffb156cfd39ce07ebdc6d4b20509e25f2d6cc6,codex-exp: iteration 5 [codex failed exit=1 timed_out=0],gpt-5.4-mini,codex-exp/20260626T010820Z-gpt-5.4-mini-high-Agent
6,2,37,23,60,123.617,0,0,9e36f8240b0e6494d44d3bb778c0c3952a44ae2e,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260626T010820Z-gpt-5.4-mini-high-Agent
7,3,24,19,43,91.630,0,0,466fd5d07cd5b5539b6d4b7d6aadd77ce58990ee,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260626T010820Z-gpt-5.4-mini-high-Agent
8,4,21,30,51,108.088,0,0,21597d349f0563c83930861d3d222254a03e132a,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260626T010820Z-gpt-5.4-mini-high-Agent
9,2,9,15,24,79.124,0,0,09c678c071f2c0be62512a836686137f6944eafd,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260626T010820Z-gpt-5.4-mini-high-Agent
10,2,15,9,24,77.048,0,0,eee3ad34e29e2fa086917144792af958ca16712b,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260626T010820Z-gpt-5.4-mini-high-Agent
