run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,0,0,0,0,1.617,1,0,c4c458c8b1d3b1de99ae3ddb61016e47974345f5,claude-exp: iteration 1 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T191013Z-claude-sonnet-4-6-high-Agent
2,0,0,0,0,1.375,1,0,ab5b58ddc944357811142db343574c7fc40636e8,claude-exp: iteration 2 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T191013Z-claude-sonnet-4-6-high-Agent
3,0,0,0,0,1.137,1,0,144619e668cd5bd003d027ce909d78c96138b8eb,claude-exp: iteration 3 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T191013Z-claude-sonnet-4-6-high-Agent
4,0,0,0,0,1.927,1,0,00baa5eddc9d4a86d6bdf055c5cbd365254a8836,claude-exp: iteration 4 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T191013Z-claude-sonnet-4-6-high-Agent
5,0,0,0,0,1.201,1,0,e281e5efb48cb693d839b6bccce3bd2c2953abb6,claude-exp: iteration 5 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T191013Z-claude-sonnet-4-6-high-Agent
6,0,0,0,0,1.349,1,0,ff61af5fc243b2cdeb2c6214c60e4f9e5ca1269b,claude-exp: iteration 6 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T191013Z-claude-sonnet-4-6-high-Agent
7,0,0,0,0,1.184,1,0,43e2f40d48bfcadb5beff6ab92e9166751863a79,claude-exp: iteration 7 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T191013Z-claude-sonnet-4-6-high-Agent
8,0,0,0,0,1.206,1,0,cdabdbd7c7742d1438650c2b5c47a52af6258bdd,claude-exp: iteration 8 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T191013Z-claude-sonnet-4-6-high-Agent
9,0,0,0,0,1.383,1,0,e324b337a04a43faed5ac49a3f9013cefdc83fae,claude-exp: iteration 9 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T191013Z-claude-sonnet-4-6-high-Agent
10,0,0,0,0,1.047,1,0,866236b879618f4e4c8f779e7863de56b5925911,claude-exp: iteration 10 [claude failed exit=1 timed_out=0],claude-sonnet-4-6,claude-exp/20260620T191013Z-claude-sonnet-4-6-high-Agent
