run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,1,25,16,41,54.627,0,0,b149bb33f95695d2f027c4c7919ee684587b3270,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260626T014741Z-gpt-5.4-mini-high-Agent
2,1,7,5,12,53.266,0,0,b423c7fea73ba77ad84050ae8f53218294ae5402,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260626T014741Z-gpt-5.4-mini-high-Agent
3,1,16,5,21,55.640,0,0,239b11a1ed3c06c76b6485cd6819be42b66890cb,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260626T014741Z-gpt-5.4-mini-high-Agent
4,2,37,9,46,87.882,0,0,051d2a10bda16a881475fcc9e67e6b4c7a11ee59,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260626T014741Z-gpt-5.4-mini-high-Agent
5,1,20,9,29,46.935,0,0,077e2487fb5fc9c8240b26617971fe2fef221baa,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260626T014741Z-gpt-5.4-mini-high-Agent
6,2,55,38,93,57.683,0,0,70c2655fabac283a4b47408282a5ecad01785ec0,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260626T014741Z-gpt-5.4-mini-high-Agent
7,3,34,25,59,57.424,0,0,93037c8a18874f7744e5bfceee9687ce5d51c503,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260626T014741Z-gpt-5.4-mini-high-Agent
8,2,3,28,31,79.393,0,0,ba08bfbe65185d0017c1925eb55be7a2dec36681,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260626T014741Z-gpt-5.4-mini-high-Agent
9,2,5,5,10,73.843,0,0,29c22c3a52599ff634d75cd85e550efcfd6e4ba0,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260626T014741Z-gpt-5.4-mini-high-Agent
10,2,15,2,17,93.217,0,0,dae5cd742c6b1d486f3219de953ba6ef815cd53e,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260626T014741Z-gpt-5.4-mini-high-Agent
