run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,3,188,23,211,480.655,0,0,b620ee69497a58f1fb20a518bff812c1e1711364,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260628T073646Z-gpt-5.4-mini-high-Agent
2,2,114,16,130,116.125,0,0,7f0523b558e69d6434011d55a5610e1f10d2c325,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260628T073646Z-gpt-5.4-mini-high-Agent
3,2,234,81,315,401.180,0,0,efee546ab6b7013fe8ef145778cc9fae14ecb03e,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260628T073646Z-gpt-5.4-mini-high-Agent
4,1,23,13,36,172.503,0,0,3d3c9f7aba89334fad761d752a7136d0978e386b,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260628T073646Z-gpt-5.4-mini-high-Agent
5,1,100,61,161,383.715,0,0,5dd057fd723b0433a870753d54f6bc3d121c4a7c,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260628T073646Z-gpt-5.4-mini-high-Agent
6,2,80,3,83,160.508,0,0,72a3ecf9c8a7893ba1b9db3a29f65a3567c62e58,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260628T073646Z-gpt-5.4-mini-high-Agent
7,1,20,25,45,158.139,0,0,01e549cd1652f4d886ce8ab93905c73bcd7d67d8,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260628T073646Z-gpt-5.4-mini-high-Agent
8,3,34,13,47,224.258,0,0,c8130366c7e182ec9b21e1554cc81365e11249c3,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260628T073646Z-gpt-5.4-mini-high-Agent
9,1,41,97,138,133.411,0,0,0da9e72a12bfd88606ce538cb641ec51802fbcac,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260628T073646Z-gpt-5.4-mini-high-Agent
10,1,364,18,382,382.454,0,0,016d0c4e29f777fb8475b053165af41a5a3826ca,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260628T073646Z-gpt-5.4-mini-high-Agent
