run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,2,19,10,29,395.394,0,0,de9a010695037800eb73776d1d3ab7ea0a46409a,claude-exp: iteration 1,claude-sonnet-4-6,claude-exp/20260629T114201Z-claude-sonnet-4-6-high-Agent
2,3,8,13,21,190.587,0,0,e493b0a76e039951e787670ea34ab61cea08ad8e,claude-exp: iteration 2,claude-sonnet-4-6,claude-exp/20260629T114201Z-claude-sonnet-4-6-high-Agent
3,2,7,13,20,122.771,0,0,f688efa7b7ed379411cf12d5733c9052bf44f8cc,claude-exp: iteration 3,claude-sonnet-4-6,claude-exp/20260629T114201Z-claude-sonnet-4-6-high-Agent
4,3,12,9,21,215.932,0,0,f5d3539b0f5e14a9cc741590120476e5e6da8721,claude-exp: iteration 4,claude-sonnet-4-6,claude-exp/20260629T114201Z-claude-sonnet-4-6-high-Agent
5,2,4,4,8,179.055,0,0,bd2c360a1104d539b333f109853ed27f3ea97f08,claude-exp: iteration 5,claude-sonnet-4-6,claude-exp/20260629T114201Z-claude-sonnet-4-6-high-Agent
6,2,11,6,17,125.894,0,0,cdd54388cca631059bc62c5a6ff57572bbf632b2,claude-exp: iteration 6,claude-sonnet-4-6,claude-exp/20260629T114201Z-claude-sonnet-4-6-high-Agent
7,2,12,13,25,123.526,0,0,5fa80de665aef9fe48f6a28e2fcfd200a355f11b,claude-exp: iteration 7,claude-sonnet-4-6,claude-exp/20260629T114201Z-claude-sonnet-4-6-high-Agent
8,3,8,7,15,145.413,0,0,e9085e5bce078eb26d4ab0a5fbde0cda7c5554d3,claude-exp: iteration 8,claude-sonnet-4-6,claude-exp/20260629T114201Z-claude-sonnet-4-6-high-Agent
9,3,24,21,45,132.973,0,0,7886fc88d12583a9148d0e1ca0de391b649e3f7c,claude-exp: iteration 9,claude-sonnet-4-6,claude-exp/20260629T114201Z-claude-sonnet-4-6-high-Agent
10,4,16,15,31,163.976,0,0,7c642c6a6ab08a57fa4705ca16a31cf20578a30b,claude-exp: iteration 10,claude-sonnet-4-6,claude-exp/20260629T114201Z-claude-sonnet-4-6-high-Agent
