run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out,commit_sha,commit_message,model,git_branch
1,18,434,796,1230,875.818,0,0,2f3cfae3b5ee5e60fc845fe28cda55d483a56d8e,codex-exp: iteration 1,gpt-5.4-mini,codex-exp/20260628T170833Z-gpt-5.4-mini-high-Agent
2,2,166,133,299,298.056,0,0,9e12385ce2933274e07876bf88ae58e27270ed0c,codex-exp: iteration 2,gpt-5.4-mini,codex-exp/20260628T170833Z-gpt-5.4-mini-high-Agent
3,2,809,867,1676,337.517,0,0,7f9907e6f02aa5d1798f5d85fb40a58c022b86ed,codex-exp: iteration 3,gpt-5.4-mini,codex-exp/20260628T170833Z-gpt-5.4-mini-high-Agent
4,2,881,841,1722,454.766,0,0,1330ddf51883aaeb8cf7069d4f753efd56b4cc3d,codex-exp: iteration 4,gpt-5.4-mini,codex-exp/20260628T170833Z-gpt-5.4-mini-high-Agent
5,2,661,187,848,580.827,0,0,cc2ab6deadda1a37e4fbb54bbed91e36908a0db8,codex-exp: iteration 5,gpt-5.4-mini,codex-exp/20260628T170833Z-gpt-5.4-mini-high-Agent
6,4,507,360,867,714.797,0,0,a2005a1ffbc01cfc5bf36656cb6116d79e8e6bfe,codex-exp: iteration 6,gpt-5.4-mini,codex-exp/20260628T170833Z-gpt-5.4-mini-high-Agent
7,2,127,202,329,362.720,0,0,56bb95b8baada15a2a0fce51295389706e232544,codex-exp: iteration 7,gpt-5.4-mini,codex-exp/20260628T170833Z-gpt-5.4-mini-high-Agent
8,2,125,85,210,154.068,0,0,b41e3d512d452396baee2d73bb9d464be11db05c,codex-exp: iteration 8,gpt-5.4-mini,codex-exp/20260628T170833Z-gpt-5.4-mini-high-Agent
9,2,188,147,335,182.428,0,0,456ef5a7c9364eafd6e8eef53d0a65deaca1b727,codex-exp: iteration 9,gpt-5.4-mini,codex-exp/20260628T170833Z-gpt-5.4-mini-high-Agent
10,2,333,292,625,332.914,0,0,f3dc049873a7360e0450d106f6e88bdf800fbec8,codex-exp: iteration 10,gpt-5.4-mini,codex-exp/20260628T170833Z-gpt-5.4-mini-high-Agent
