# RefDiff matcher discarded candidates for 20260626T201257Z-claude-opus-4-8



## run 001 commit 800a9f31fdb4d4681a74aeb9950da3ae124bd0a2
Discarded match with score 0.074	 {Animal.java:8414:10514:8932:10513 MethodDeclaration createNewOffspring(Class, List, boolean, boolean, int)} {Animal.java:9757:10371:10371:10371 MethodDeclaration createOffspring(Field, Location, boolean, boolean)}
Discarded EXTRACT with score 0.000	 {Animal.java:8414:10514:8932:10513 MethodDeclaration createNewOffspring(Class, List, boolean, boolean, int)} {Animal.java:9757:10371:10371:10371 MethodDeclaration createOffspring(Field, Location, boolean, boolean)}

## run 002 commit 124f41fb2a49088e5e250397f3cdfa2bd853dc07
Discarded match with score 0.214	 {Prey.java:197:681:589:680 MethodDeclaration new(Field, Location, boolean, boolean)} {Prey.java:197:2147:1548:2146 MethodDeclaration new(boolean, Field, Location, boolean, boolean, int, int, double, int, int, int, double)}
Discarded match with score 0.145	 {Predator.java:308:811:716:810 MethodDeclaration new(Field, Location, boolean, boolean)} {Predator.java:308:2615:1732:2614 MethodDeclaration new(boolean, Field, Location, boolean, boolean, double, int, int, double, int, int, int)}
Discarded match with score 0.214	 {Prey.java:197:681:589:680 MethodDeclaration new(Field, Location, boolean, boolean)} {Prey.java:197:2147:1548:2146 MethodDeclaration new(boolean, Field, Location, boolean, boolean, int, int, double, int, int, int, double)}
Discarded match with score 0.145	 {Predator.java:308:811:716:810 MethodDeclaration new(Field, Location, boolean, boolean)} {Predator.java:308:2615:1732:2614 MethodDeclaration new(boolean, Field, Location, boolean, boolean, double, int, int, double, int, int, int)}

## run 008 commit 6358dcc3277b99ab7809effdd2dd963d4bd2cbf1
Discarded match with score 0.157	 {Simulator.java:1570:1766:1765:1765 MethodDeclaration SpeciesSpawn(double, BiFunction)} {Species.java:2460:2639:2597:2638 MethodDeclaration creationProbability()}
Discarded match with score 0.059	 {Simulator.java:1570:1766:1765:1765 MethodDeclaration SpeciesSpawn(double, BiFunction)} {Species.java:2645:2776:2744:2775 MethodDeclaration fillColor()}
Discarded match with score 0.085	 {Simulator.java:1570:1766:1765:1765 MethodDeclaration SpeciesSpawn(double, BiFunction)} {Species.java:2925:3292:3239:3291 MethodDeclaration spawn(Field, Location)}
Discarded match with score 0.090	 {Simulator.java:1570:1766:1765:1765 MethodDeclaration SpeciesSpawn(double, BiFunction)} {Species.java:2289:2454:2419:2453 MethodDeclaration speciesClass()}
Discarded match with score 0.036	 {Simulator.java:1570:1766:1765:1765 MethodDeclaration SpeciesSpawn(double, BiFunction)} {Species.java:2782:2919:2887:2918 MethodDeclaration textColor()}
Discarded EXTRACT with score 0.003	 {Simulator.java:3241:5486:3489:5485 MethodDeclaration new(int, int)} {Species.java:2645:2776:2744:2775 MethodDeclaration fillColor()}
Discarded EXTRACT with score 0.003	 {Simulator.java:3241:5486:3489:5485 MethodDeclaration new(int, int)} {Species.java:2289:2454:2419:2453 MethodDeclaration speciesClass()}
Discarded EXTRACT with score 0.003	 {Simulator.java:3241:5486:3489:5485 MethodDeclaration new(int, int)} {Species.java:2782:2919:2887:2918 MethodDeclaration textColor()}
