run,files_changed,lines_added,lines_deleted,lines_total,duration_s,exit_code,timed_out
1,1,16,17,33,50.364,0,0
2,1,27,12,39,20.488,0,0
3,1,7,11,18,20.765,0,0
4,0,0,0,0,8.455,0,0
5,1,25,13,38,23.131,0,0
6,1,16,14,30,22.554,0,0
7,1,12,10,22,25.440,0,0
8,1,2,7,9,20.383,0,0
9,1,8,6,14,20.755,0,0
10,1,2,3,5,26.457,0,0
11,1,9,8,17,25.864,0,0
12,1,8,7,15,20.677,0,0
13,1,13,4,17,22.151,0,0
14,1,7,4,11,26.091,0,0
15,1,18,14,32,26.659,0,0
16,1,2,12,14,19.549,0,0
17,1,10,7,17,24.152,0,0
18,1,3,1,4,26.754,0,0
19,1,10,13,23,32.461,0,0
20,1,23,6,29,23.370,0,0
